STRUCTURE_NUMBER_008,COUNTY_CODE_003,FACILITY_CARRIED_007,FEATURES_DESC_006A,LOCATION_009,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,YEAR_BUILT_027,ADT_029,MODEL_DETERIORATION_RISK_SCORE,RISK_RANK,RISK_PERCENTILE,RISK_GROUP
000000000010242,29,SCHUYLKILL ROAD,STONY RUN CREEK,NEAR SPRING CITY     7J12,6.0,6.0,5.0,1942.0,13454.0,0.36737,13858,34.0,Low
000000000042218,87,SR 22-US 22,SR 3023,0.5 MI WEST OF LEWISTOWN,7.0,8.0,7.0,2003.0,1360.0,0.367338,13859,34.0,Low
000000000008286,19,T-761 KECK ROAD,BONNIE BROOK,0.75 MI SW OF CARBON CNTR,6.0,8.0,6.0,1996.0,100.0,0.36731,13860,33.9,Low
000000000042036,123,"SR 3007,COBHAM STA",OVER PERRY MCGEE RUN,DEERFIELD TOWNSHIP,7.0,7.0,6.0,2003.0,594.0,0.367291,13861,33.9,Low
000000000007328,17,RUSHLAND ROAD,NESHAMINY CREEK,"RUSHLAND,WRIGHTWWN.30E08",6.0,6.0,6.0,1947.0,2497.0,0.36729,13862,33.9,Low
000000000047870,91,CAMP HILL ROAD,PRIVATE DRIVE,100' N of I-276   3258-A9,7.0,7.0,7.0,1998.0,4200.0,0.367231,13863,33.9,Low
000000000039119,101,Commerce Street,Penn Ctr Undergr'nd Ramp,BTWN.18TH & 19TH   28E12,7.0,7.0,7.0,1957.0,2000.0,0.367191,13864,33.9,Low
000000000036874,129,Deerfield Drive,Tributary to Bushy Run,0.5 MI N OF HARRISON CITY,6.0,6.0,7.0,1992.0,150.0,0.367183,13865,33.9,Low
000000000010736,29,T-400,PA TPK (I-76),NORTH OF MARSH CR.SER.PL,6.0,6.0,6.0,1950.0,200.0,0.367174,13866,33.9,Low
000000000022502,73,PA TPK (I-376),MAHON;NS;CSX;COVERTRD,CITY OF NEW CASTLE,7.0,7.0,6.0,1992.0,9871.0,0.367174,13867,33.9,Low
